datetime,EAN101,EAN201,EAN202,EAN203,EAN103,EAN102,EAN104,sale_price_1,sale_price_2,sale_price_3,sale_price_4,purchase_price_1,purchase_price_2,purchase_price_3,purchase_price_4
2019-10-07T00:00:00,50,0,0,104.7035008,0,2,5.6,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:00:30,50,0,0,104.1426116,0,2.0106667,5.6466667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:01:00,50,0,0,104.1426116,0,2.0213333,5.6933333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:01:30,50,0,0,104.1426116,0,2.032,5.74,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:02:00,50,0,0,103.9774828,0,2.0426667,5.7866667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:02:30,50,0,0,104.1426116,0,2.0533333,5.8333333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:03:00,50,0,0,103.9774828,0,2.064,5.88,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:03:30,50,0,0,103.9439594,0,2.0746667,5.9266667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:04:00,50,0,0,103.9774828,0,2.0853333,5.9733333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:04:30,50,0,0,103.9774828,0,2.096,6.02,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:05:00,50,0,0,103.9439594,0,2.1066667,6.0666667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:05:30,50,0,0,103.9439594,0,2.1173333,6.1133333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:06:00,50,0,0,103.9439594,0,2.128,6.16,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:06:30,50,0,0,103.9439594,0,2.1386667,6.2066667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:07:00,50,0,0,103.9439594,0,2.1493333,6.2533333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:07:30,50,0,0,103.9439594,0,2.16,6.3,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:08:00,50,0,0,103.9774828,0,2.1706667,6.3466667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:08:30,50,0,0,103.9774828,0,2.1813333,6.3933333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:09:00,50,0,0,104.5468948,0,2.192,6.44,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:09:30,50,0,0,104.5468948,0,2.2026667,6.4866667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:10:00,50,0,0,104.7035008,0,2.2133333,6.5333333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:10:30,50,0,0,105.5144458,0,2.224,6.58,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:11:00,50,0,0,105.5232644,0,2.2346667,6.6266667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:11:30,50,0,0,106.1695678,0,2.2453333,6.6733333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:12:00,50,0,0,105.5144458,0,2.256,6.72,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:12:30,50,0,0,104.7035008,0,2.2666667,6.7666667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:13:00,50,0,0,104.7035008,0,2.2773333,6.8133333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:13:30,50,0,0,105.5144458,0,2.288,6.86,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:14:00,50,0,0,106.1695678,0,2.2986667,6.9066667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:14:30,50,0,0,106.3951202,0,2.3093333,6.9533333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:15:00,50,0,0,107.1466768,0,2.32,7,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:15:30,50,0,0,106.3951202,0.05090911,2.3066667,6.9066667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:16:00,50,0,0,106.1695678,0.10181815,2.2933333,6.8133333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:16:30,50,0,0,106.1695678,0.15272726,2.28,6.72,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:17:00,50,0,0,106.3951202,0.20363637,2.2666667,6.6266667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:17:30,50,0,0,106.3951202,0.25454548,2.2533333,6.5333333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:18:00,50,0,0,106.1695678,0.30545452,2.24,6.44,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:18:30,50,0,0,106.3951202,0.35636363,2.2266667,6.3466667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:19:00,50,0,0,106.8429058,0.40727274,2.2133333,6.2533333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:19:30,50,0,0,106.8429058,0.45818185,2.2,6.16,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:20:00,50,0,0,107.1466768,0.50909089,2.1866667,6.0666667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:20:30,50,0,0,107.1803876,0.56,2.1733333,5.9733333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:21:00,50,0,0,107.4733016,0.61090911,2.16,5.88,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:21:30,50,0,0,107.8130722,0.66181815,2.1466667,5.7866667,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:22:00,50,0,0,107.8130722,0.71272726,2.1333333,5.6933333,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
2019-10-07T00:22:30,50,0,0,107.4733016,0.76363637,2.12,5.6,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15
